kyr_oblast,rus_oblast,oblast,oblast_code,kyr_items,rus_items,items,label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Баткен облусу,Баткенская область,Batken oblast ,kg-ba,Дан (иштетилгенден кийинки салмакта),Зерно (в весе после доработки) ,Grains (weight after reprocessing),grains,,62.7,58.7,57.7,39.8,58.9,75,91.7,91.9,94.1,78.8,85.1,93,96.1,94.2,86.3,77.9,83.1,91.8,106.4,101.8,86.7,100.1,104.5,102
Баткен облусу,Баткенская область,Batken oblast ,kg-ba, Буудай (иштетилгенден кийинки салмакта), Пшеница  (в весе после доработки) , Wheat (weight after reprocessing),wheat,,21.7,28,31,21.6,38.3,54,68,70,69.9,51.6,50.3,57.3,53.9,48.9,42.7,35.6,32.7,39.6,51.1,43.5,33.1,31.3,30.3,27.4
Баткен облусу,Баткенская область,Batken oblast ,kg-ba, Арпа (иштетилгенден кийинки салмакта), Ячмень  (в весе после доработки) , Barley (weight after reprocessing),barley,,14.8,14.4,9.3,8.4,6.6,6.7,6.9,6.4,6.2,1,0.5,2.4,3.4,5.3,3.5,2.8,6.1,7.2,10.4,11,5.9,12.6,12.3,9.9
Баткен облусу,Баткенская область,Batken oblast ,kg-ba, Дандык жүгөрү, Кукуруза на зерно, Corn,corn,,26,15.6,17.1,9.4,12.8,12.2,13.9,13.2,14.7,21,27.4,26,29.9,30.8,32.1,31.6,36.5,36.2,36.2,37.4,38,45.7,50.2,53
Баткен облусу,Баткенская область,Batken oblast ,kg-ba,Күрүч (иштетилгенден кийинки салмакта), Рис (в весе после доработки) , Rice (weight after reprocessing),rice,,0.2,0.2,0.1,0.2,0.3,1.8,2.7,2.2,3.1,5,5.4,5.2,5.3,5.4,5.5,5.6,5,5.5,5.5,7.1,6.5,6.9,8.7,8.2
Баткен облусу,Баткенская область,Batken oblast ,kg-ba, Дан буурчактар (иштетилгенден кийинки салмакта), зернобобовые (в весе после доработки)* , Leguminous (weight after reprocessing),legums,,,,,0,0,0.1,0.1,0.1,0.1,0.2,1.4,2.1,3.5,3.8,2.5,2.3,2.9,3.2,3.2,2.8,3.1,3.6,3,3.4
Баткен облусу,Баткенская область,Batken oblast ,kg-ba, Кант кызылчасы (фабрикалык),Сахарная свекла (фабричная),Sugar-beet (fabric),sugar_beet,,,,0.3,,0.2,,,,,,,,,,,,,,,,,,,
Баткен облусу,Баткенская область,Batken oblast ,kg-ba, Пахта сырьесу (зачеттук салмакта),Хлопок-сырец (в зачетном весе),Сotton  (at recorded weight),cotton,,,,0.1,0.5,1,0.6,0.2,0.2,0.3,0.4,1.1,0.8,1,2.2,1.5,1.2,0.7,0.4,0.2,0.2,0.4,0.5,0.1,0.04
Баткен облусу,Баткенская область,Batken oblast ,kg-ba, Тамеки (зачеттук салмакта),Табак (в зачетном весе),Tobacco (at recorded weight),tobacco,,5.6,5,5.3,4.5,1.4,1.5,2.2,2.4,3.2,3.3,2.4,0.2,1,1.3,1.2,1.2,1.2,1.2,1.2,1.3,1.4,1.9,1.7,1.2
Баткен облусу,Баткенская область,Batken oblast ,kg-ba, Май алынуучу өсүмдүктөр,Масличные культуры,Oil-producing crops,oil_crops,,0.08,0.09,0.6,0.6,0.5,0.9,1.7,2,2.4,2.4,3.5,5,5.2,5.3,5.3,4.6,4.2,4.5,4.1,3.3,3.1,3.5,2.7,2.7
